[0] Time Stamp,Level,ProviderGuid,EventId,Pid,Tid,ActivityId,Computer,OSType,Category,SCAgentChannel,OSName,OSMajorVersion,OSMinorVersion,Version,ComputerPrivateIps,SchemaID
2026-03-26T13:20:25.6338200Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:21:25.6445933Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:22:25.6473053Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:23:25.6592080Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:24:25.6729014Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:25:25.6758139Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:26:25.6841993Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:27:25.6953926Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:28:25.7046989Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:29:25.7139680Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:30:25.7149834Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:31:25.7246082Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:32:25.7276212Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:33:25.7420749Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:34:25.7538503Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:35:25.7561114Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:36:25.7713238Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:37:25.7846923Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:38:25.7938976Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:39:25.7986330Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:40:25.8029341Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:41:25.8176032Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:42:25.8271905Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:43:25.8388914Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:44:25.8406928Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:45:25.8539592Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:46:25.8631041Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
2026-03-26T13:47:25.8639188Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64025,704,5636,"00000000-0000-0000-0000-000000000000","amawin","Windows","AMA","Direct","Microsoft Windows Server 2019 Datacenter",10,0,"47.04.01","[""10.1.0.4""]", [0]
