[0] Time Stamp,Level,ProviderGuid,EventId,Pid,Tid,ActivityId,LogId,Tag,Msg,SchemaID
2026-03-26T13:43:00.0173439Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","EventsProcessedLastPeriod: 0", [0]
2026-03-26T13:43:00.0173816Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","Attempting to enumerate all active ETW sessions for provider. ProviderId: ""{EDC24920-E004-40F6-A8E1-0E6E48F39D84}"", Shutdown: false", [0]
2026-03-26T13:43:00.0174046Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","The requested provider Id is enabled in the following session(s). EnableCount: 1", [0]
2026-03-26T13:43:00.0174758Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","Session details. SessionName: ""NativeMetricsExtension_Provider"", IsIndependentSessionMode: true, LogFileModeFlags: 142606592, BufferSizeKb: 1024, MinBuffers: 8, MaxBuffers: 64, CurrentBuffers: 8, BuffersFree: 8, BuffersWritten: 547, BuffersLost: 0, EventsLost: 0", [0]
2026-03-26T13:43:00.0174894Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MonitoringAccountManagersCollection","MainLoop","Input data collected. EventsLostLastPeriod: 0, EventsDroppedLastPeriod: 0", [0]
2026-03-26T13:43:00.0175144Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Interning cache state. NextClearTimeUtc: 2026-03-26T13:47:23.274, VolatileCurrentSize: 1, VolatileCurrentSizeInBytes: 120, VolatileSecondarySize: 0, VolatileSecondarySizeInBytes: 0, StaticCacheSize: 46, StaticCacheSizeInBytes: 5712", [0]
2026-03-26T13:43:00.0176636Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Job object info. Job object analysed: ""Job object of ME"", Info: "" TotalUserTime: 62500, TotalKernelTime: 234375, ThisPeriodTotalUserTime: 62500, ThisPeriodTotalKernelTime: 234375, TotalProcesses: 2, ActiveProcesses: 2, PeakProcessMemoryUsed:16949248, PeakJobMemoryUsed: 23597056, RateControlEnabled: 1""", [0]
2026-03-26T13:43:23.9304353Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 2762, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false", [0]
2026-03-26T13:43:27.0107855Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwHeartbeatTracker","MainLoop","Writing ETW heartbeat - periodic processing indicator. IterationConstant: 12, PreviousHeartbeatSentUtc: 2026-03-26T13:43:21.992, LastHeartbeatReceivedUtc: 2026-03-26T13:43:24.046, CyclesSinceLastHeartbeat: 0", [0]
2026-03-26T13:43:53.9396649Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","Diagnostic heartbeat emitted. CurrentRawDataQueueSize: 0, UptimeSec: 2792, EtwEventsDropped: 0, EtwEventsLost: 0, AggregatedMetricsDropped: 0, IsNearingEtwQueueLimit: 0, IsNearingAggregationQueueLimit: 0, IsShuttingDown: false", [0]
2026-03-26T13:44:00.0185640Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","MetricsExtensionService","MainLoop","EventsProcessedLastPeriod: 0", [0]
2026-03-26T13:44:00.0185997Z,4,"501ed43d-2913-11f1-8b3b-002248784a84",64005,964,2036,"00000000-0000-0000-0000-000000000000","EtwRawMdmEventsSource","NativeMetricsExtension_Provider","Attempting to enumerate all active ETW sessions for provider. ProviderId: ""{EDC24920-E004-40F6-A8E1-0E6E48F39D84}"", Shutdown: false", [0]
