[0] Time Stamp,Level,ProviderGuid,EventId,Pid,Tid,ActivityId,RateSec,MaVersion,ConfigVersion,SchemaID
2026-03-26T12:58:25.4914605Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T12:59:25.4901428Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:00:25.4937279Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:01:25.5023626Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:02:25.5063045Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:03:25.5093027Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:04:25.5150354Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:05:25.5226072Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:06:25.5321835Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:07:25.5337126Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:08:25.5342727Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:09:25.5427706Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:10:25.5428060Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:11:25.5542835Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:12:25.5685412Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:13:25.5701253Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:14:25.5803359Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:15:25.5811873Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:16:25.5842574Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:17:25.5863183Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:18:25.5991609Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:19:25.6060405Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:20:25.6181429Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:21:25.6289692Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:22:25.6317407Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:23:25.6434847Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:24:25.6572868Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:25:25.6600729Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:26:25.6686017Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:27:25.6797571Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:28:25.6890193Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:29:25.6984093Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:30:25.6993520Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:31:25.7089562Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:32:25.7120299Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:33:25.7264382Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:34:25.7382258Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:35:25.7405316Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:36:25.7556851Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:37:25.7690737Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:38:25.7781582Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:39:25.7830346Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:40:25.7871546Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:41:25.8020240Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:42:25.8115833Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:43:25.8231848Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:44:25.8250278Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:45:25.8383632Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:46:25.8474442Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:47:25.8483303Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
2026-03-26T13:48:25.8495039Z,4,"54e4452c-2913-11f1-8b3b-002248784a84",64015,704,5612,"00000000-0000-0000-0000-000000000000",60,"47.04.01 - Oct 23 2025 18:50:14 -  amd64","0", [0]
